,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,15,21,15,3,Connecticut,15,California,51,/teams/events/match_report/?EventGameId=H7ab0ZL9hhY9%2fnxCKZ7CuW74bj9ClveG6aBOsa1kxuk%3d
1,3,14,3,15,California,3,Connecticut,60,/teams/events/match_report/?EventGameId=H7ab0ZL9hhY9%2fnxCKZ7CuW74bj9ClveG6aBOsa1kxuk%3d
2,14,13,14,10,California-San Diego,13,Michigan,27,/teams/events/match_report/?EventGameId=Wd4vkTcfvnedSI%2fRwarHls%2b%2b%2fo9MFahhv7w2KA%2bB%2f4I%3d
3,10,10,10,13,Michigan,10,California-San Diego,33,/teams/events/match_report/?EventGameId=Wd4vkTcfvnedSI%2fRwarHls%2b%2b%2fo9MFahhv7w2KA%2bB%2f4I%3d
4,15,13,15,6,Connecticut,15,Texas,28,/teams/events/match_report/?EventGameId=9jMbsEqyojnp%2fihtIJ0t%2bvtbYCIHyobiU6nJbCeK%2bLU%3d
5,6,10,6,15,Texas,6,Connecticut,35,/teams/events/match_report/?EventGameId=9jMbsEqyojnp%2fihtIJ0t%2bvtbYCIHyobiU6nJbCeK%2bLU%3d
6,12,13,12,10,Tufts,12,Virginia,24,/teams/events/match_report/?EventGameId=QgMsWDOue5ulLqlh1dDA3Td4hqXPYBUWHgV30PwXlW8%3d
7,10,5,10,12,Virginia,10,Tufts,27,/teams/events/match_report/?EventGameId=QgMsWDOue5ulLqlh1dDA3Td4hqXPYBUWHgV30PwXlW8%3d
8,15,10,15,13,Virginia,15,British Columbia,28,/teams/events/match_report/?EventGameId=T8mdKfRTbhCd0w0RPfA7iW4prsoWCipmerpXVyqVixU%3d
9,13,9,13,15,British Columbia,13,Virginia,29,/teams/events/match_report/?EventGameId=T8mdKfRTbhCd0w0RPfA7iW4prsoWCipmerpXVyqVixU%3d
10,14,6,14,10,Carleton College,14,Texas,20,/teams/events/match_report/?EventGameId=R2rWIR8HodzKExL8Fh1LZlKJ21xvCRzaPpGzzlm3g4w%3d
11,10,7,10,14,Texas,10,Carleton College,19,/teams/events/match_report/?EventGameId=R2rWIR8HodzKExL8Fh1LZlKJ21xvCRzaPpGzzlm3g4w%3d
12,15,4,15,8,North Carolina,15,Texas,14,/teams/events/match_report/?EventGameId=H4T0AhKUcLnodM4hzYoQgcqUEnlT1w8adIs2xc221y8%3d
13,8,5,8,15,Texas,8,North Carolina,19,/teams/events/match_report/?EventGameId=H4T0AhKUcLnodM4hzYoQgcqUEnlT1w8adIs2xc221y8%3d
14,0,0,0,0,Texas,0,Dartmouth,0,/teams/events/match_report/?EventGameId=OtwBdPoq2VRBkMSdU0q6mfrU6TKk2I15zqPVu70%2bsjE%3d
15,0,0,0,0,Dartmouth,0,Texas,0,/teams/events/match_report/?EventGameId=OtwBdPoq2VRBkMSdU0q6mfrU6TKk2I15zqPVu70%2bsjE%3d
16,14,12,14,8,British Columbia,14,Dartmouth,30,/teams/events/match_report/?EventGameId=jng9ccvasW3OBQQE5tpywWR4oT%2brfv18I%2b%2brVtXKNEc%3d
17,8,9,8,14,Dartmouth,8,British Columbia,35,/teams/events/match_report/?EventGameId=jng9ccvasW3OBQQE5tpywWR4oT%2brfv18I%2b%2brVtXKNEc%3d
18,12,5,12,7,Ohio State,12,Stanford,16,/teams/events/match_report/?EventGameId=2wTt6ktYlNVuOiQ2XYhpn%2fSD4s33pDrBvaszNxPXtKI%3d
19,7,5,7,12,Stanford,7,Ohio State,21,/teams/events/match_report/?EventGameId=2wTt6ktYlNVuOiQ2XYhpn%2fSD4s33pDrBvaszNxPXtKI%3d
20,15,6,15,8,California,15,Colorado,20,/teams/events/match_report/?EventGameId=B1HvupaQ6a6JtnnQXK2Mab6HXdud%2b1%2fYep1ux5n7UFY%3d
21,8,7,8,15,Colorado,8,California,26,/teams/events/match_report/?EventGameId=B1HvupaQ6a6JtnnQXK2Mab6HXdud%2b1%2fYep1ux5n7UFY%3d
22,15,9,15,12,California-San Diego,15,UCLA,24,/teams/events/match_report/?EventGameId=dsRVG3klJ2jxHuXFi01k5oOayV9JI2EToHHbirtUn%2bo%3d
