,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,1,0,1,13,11,Patrol,7,2,Truck Stop,0,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d
1,13,0,13,7,2,Truck Stop,13,11,Patrol,0,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d
0,2,0,5,13,12,Madison Club,10,1,Doublewide,0,/teams/events/match_report/?EventGameId=lncJRmDLzH8eq2WJPbF%2bmdbt1gFKry%2bBXcLjAG0wO2A%3d
1,13,0,13,10,1,Doublewide,13,12,Madison Club,0,/teams/events/match_report/?EventGameId=lncJRmDLzH8eq2WJPbF%2bmdbt1gFKry%2bBXcLjAG0wO2A%3d
0,0,0,0,10,7,Chicago Machine,11,2,Truck Stop,0,/teams/events/match_report/?EventGameId=QiH5yEHy65Vbf8mTvSqTK5EB1J1LKaPVcJlltZLM2YM%3d
1,8,0,6,11,2,Truck Stop,10,7,Chicago Machine,0,/teams/events/match_report/?EventGameId=QiH5yEHy65Vbf8mTvSqTK5EB1J1LKaPVcJlltZLM2YM%3d
0,13,0,13,6,13,Medicine Men,13,12,Madison Club,0,/teams/events/match_report/?EventGameId=0CMQcJ25eik31SYuwZJ7yTve48ce%2be3i6REF28x8lkY%3d
1,6,0,3,13,12,Madison Club,6,13,Medicine Men,0,/teams/events/match_report/?EventGameId=0CMQcJ25eik31SYuwZJ7yTve48ce%2be3i6REF28x8lkY%3d
0,7,0,7,9,3,DiG,7,11,Patrol,0,/teams/events/match_report/?EventGameId=PhF1RNPWtsdtgEcRV%2fdFT%2fKtkqbnl%2bmm9TSxDzorob0%3d
1,3,0,2,7,11,Patrol,9,3,DiG,0,/teams/events/match_report/?EventGameId=PhF1RNPWtsdtgEcRV%2fdFT%2fKtkqbnl%2bmm9TSxDzorob0%3d
0,6,0,5,13,4,PoNY,7,13,Medicine Men,0,/teams/events/match_report/?EventGameId=A6YNrLjjgTuLZalVbLOD2wnAT7t1KdcFdXsnrbN21c8%3d
1,2,0,2,7,13,Medicine Men,13,4,PoNY,0,/teams/events/match_report/?EventGameId=A6YNrLjjgTuLZalVbLOD2wnAT7t1KdcFdXsnrbN21c8%3d
0,12,0,13,6,12,Madison Club,13,8,Sockeye,0,/teams/events/match_report/?EventGameId=J81BfdXQm3PuMXovUHX4%2be7EfDh%2b9vDUd1TAblb%2bJKs%3d
1,6,0,6,13,8,Sockeye,6,12,Madison Club,0,/teams/events/match_report/?EventGameId=J81BfdXQm3PuMXovUHX4%2be7EfDh%2b9vDUd1TAblb%2bJKs%3d
0,8,0,8,13,15,Rhino Slam,8,10,SoCal Condors,0,/teams/events/match_report/?EventGameId=darpZrQSi7CFRFLV1oM%2bqBzqPEhpfKz0tBNTvGPtjUg%3d
1,12,0,13,8,10,SoCal Condors,13,15,Rhino Slam,0,/teams/events/match_report/?EventGameId=darpZrQSi7CFRFLV1oM%2bqBzqPEhpfKz0tBNTvGPtjUg%3d
0,2,0,8,13,16,Pittsburgh Temper,10,5,Sub Zero,0,/teams/events/match_report/?EventGameId=KPJ%2fxayTxAZjYRPMD4XTT09Z7WdJPjwvLIN55fKrVts%3d
1,7,0,13,10,5,Sub Zero,13,16,Pittsburgh Temper,0,/teams/events/match_report/?EventGameId=KPJ%2fxayTxAZjYRPMD4XTT09Z7WdJPjwvLIN55fKrVts%3d
0,13,0,13,10,1,Doublewide,13,6,Johnny Bravo,0,/teams/events/match_report/?EventGameId=wdPKTxnLAvuq4wXzzfUKqDQzQorg7jZDU82E79Ahzm8%3d
1,1,0,4,13,6,Johnny Bravo,10,1,Doublewide,0,/teams/events/match_report/?EventGameId=wdPKTxnLAvuq4wXzzfUKqDQzQorg7jZDU82E79Ahzm8%3d
0,1,0,2,13,9,HIGH FIVE,8,4,PoNY,0,/teams/events/match_report/?EventGameId=ux%2bisYDn9IuM47VkD2IUw7NLiqKj5MjdnTlGEGw%2fcL8%3d
1,12,0,11,8,4,PoNY,13,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=ux%2bisYDn9IuM47VkD2IUw7NLiqKj5MjdnTlGEGw%2fcL8%3d
0,13,0,13,9,10,SoCal Condors,13,6,Johnny Bravo,0,/teams/events/match_report/?EventGameId=xdOyMAwKVtLo9ySIfFvjFcdD%2fFY%2bJZyV3MK8TuZCiB4%3d
1,9,0,9,13,6,Johnny Bravo,9,10,SoCal Condors,0,/teams/events/match_report/?EventGameId=xdOyMAwKVtLo9ySIfFvjFcdD%2fFY%2bJZyV3MK8TuZCiB4%3d
0,0,0,0,9,4,PoNY,12,2,Truck Stop,0,/teams/events/match_report/?EventGameId=P9oJv8altp%2bvfGXPUTiksQbmZy6RdTscrAjChms3rYE%3d
1,3,0,2,12,2,Truck Stop,9,4,PoNY,0,/teams/events/match_report/?EventGameId=P9oJv8altp%2bvfGXPUTiksQbmZy6RdTscrAjChms3rYE%3d
0,10,0,10,9,11,Patrol,13,8,Sockeye,0,/teams/events/match_report/?EventGameId=dLwyM3cpWqBP5Gi1R1TueOU8pF0KRtuHgDUwIgRgY%2fM%3d
1,9,0,7,13,8,Sockeye,9,11,Patrol,0,/teams/events/match_report/?EventGameId=dLwyM3cpWqBP5Gi1R1TueOU8pF0KRtuHgDUwIgRgY%2fM%3d
0,0,0,0,9,13,Medicine Men,10,10,SoCal Condors,0,/teams/events/match_report/?EventGameId=hI4Q8KtokXu52mN6Be5kpXYs3kcKQf4wCBr5yDpT0C4%3d
1,0,0,0,10,10,SoCal Condors,9,13,Medicine Men,0,/teams/events/match_report/?EventGameId=hI4Q8KtokXu52mN6Be5kpXYs3kcKQf4wCBr5yDpT0C4%3d
0,3,0,3,13,5,Sub Zero,9,4,PoNY,0,/teams/events/match_report/?EventGameId=oKdRZ3AsSx4fSIUUOoI1%2bqh7MB8Z5J%2bkeBIS%2f7tvJGo%3d
1,8,0,7,9,4,PoNY,13,5,Sub Zero,0,/teams/events/match_report/?EventGameId=oKdRZ3AsSx4fSIUUOoI1%2bqh7MB8Z5J%2bkeBIS%2f7tvJGo%3d
0,0,0,2,13,10,SoCal Condors,9,2,Truck Stop,0,/teams/events/match_report/?EventGameId=i8qRIVR0bEfOosyQ4VV7oDx5PpqG9OOZ4jVKBDHbNeo%3d
1,10,0,11,9,2,Truck Stop,13,10,SoCal Condors,0,/teams/events/match_report/?EventGameId=i8qRIVR0bEfOosyQ4VV7oDx5PpqG9OOZ4jVKBDHbNeo%3d
0,2,0,1,7,14,Guerrilla,13,4,PoNY,0,/teams/events/match_report/?EventGameId=mRnBsfVXYJ%2f7kALEEa3DisI1hoxnEKYGrVc12uBhQuA%3d
1,7,0,7,13,4,PoNY,7,14,Guerrilla,0,/teams/events/match_report/?EventGameId=mRnBsfVXYJ%2f7kALEEa3DisI1hoxnEKYGrVc12uBhQuA%3d
0,13,0,13,11,9,HIGH FIVE,13,6,Johnny Bravo,0,/teams/events/match_report/?EventGameId=k88XhG%2blzdndyaa78WEDewP2KXmm2DMaF%2ftnFo%2fO4aw%3d
1,9,0,9,13,6,Johnny Bravo,11,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=k88XhG%2blzdndyaa78WEDewP2KXmm2DMaF%2ftnFo%2fO4aw%3d
0,7,0,6,13,1,Doublewide,8,5,Sub Zero,0,/teams/events/match_report/?EventGameId=h2Pz3eEvLcaLWN7cp%2bAJ8yK7Tdrmr%2fFD6PyilIGsPNc%3d
1,8,0,10,8,5,Sub Zero,13,1,Doublewide,0,/teams/events/match_report/?EventGameId=h2Pz3eEvLcaLWN7cp%2bAJ8yK7Tdrmr%2fFD6PyilIGsPNc%3d
0,6,0,5,9,13,Medicine Men,13,1,Doublewide,0,/teams/events/match_report/?EventGameId=VAgRTh%2bRA8rL3KDpPCTDVM4W1Mwf87fqqEXcFSp1qIU%3d
1,8,0,8,13,1,Doublewide,9,13,Medicine Men,0,/teams/events/match_report/?EventGameId=VAgRTh%2bRA8rL3KDpPCTDVM4W1Mwf87fqqEXcFSp1qIU%3d
0,0,0,0,9,15,Rhino Slam,11,12,Madison Club,0,/teams/events/match_report/?EventGameId=dPzIBoSndpX2JUi4WXHv%2bX%2bEsDbOY1BNwO82QNpRf6M%3d
1,0,0,0,11,12,Madison Club,9,15,Rhino Slam,0,/teams/events/match_report/?EventGameId=dPzIBoSndpX2JUi4WXHv%2bX%2bEsDbOY1BNwO82QNpRf6M%3d
0,11,0,12,13,16,Pittsburgh Temper,12,8,Sockeye,0,/teams/events/match_report/?EventGameId=LtFONuLTTkHznILMPHJgM5kVrwZ3k6snwbAl8KYle7k%3d
1,13,0,13,12,8,Sockeye,13,16,Pittsburgh Temper,0,/teams/events/match_report/?EventGameId=LtFONuLTTkHznILMPHJgM5kVrwZ3k6snwbAl8KYle7k%3d
0,5,0,3,10,15,Rhino Slam,8,3,DiG,0,/teams/events/match_report/?EventGameId=oDKdq%2bMk7iw%2fJnq%2bSi9RSQWNGihBW2p7tiuCNjYUfdo%3d
1,10,0,8,8,3,DiG,10,15,Rhino Slam,0,/teams/events/match_report/?EventGameId=oDKdq%2bMk7iw%2fJnq%2bSi9RSQWNGihBW2p7tiuCNjYUfdo%3d
0,11,0,12,11,10,SoCal Condors,13,12,Madison Club,0,/teams/events/match_report/?EventGameId=RcKqvimexK3dAPu1TkZ669Zsc%2bYYlFYZ7P2jr9cmdZg%3d
1,10,0,11,13,12,Madison Club,11,10,SoCal Condors,0,/teams/events/match_report/?EventGameId=RcKqvimexK3dAPu1TkZ669Zsc%2bYYlFYZ7P2jr9cmdZg%3d
0,12,0,12,9,13,Medicine Men,13,15,Rhino Slam,0,/teams/events/match_report/?EventGameId=gZaE8af4CNRBdakhpV6WvznOGpoftZkDlJ1ChnrZg5U%3d
1,4,0,2,13,15,Rhino Slam,9,13,Medicine Men,0,/teams/events/match_report/?EventGameId=gZaE8af4CNRBdakhpV6WvznOGpoftZkDlJ1ChnrZg5U%3d
0,6,0,9,12,9,HIGH FIVE,13,5,Sub Zero,0,/teams/events/match_report/?EventGameId=JYj6IxGwOar9JS48FUw%2fDRunvMLCpuRxYkpfKy%2bSmAU%3d
1,8,0,8,13,5,Sub Zero,12,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=JYj6IxGwOar9JS48FUw%2fDRunvMLCpuRxYkpfKy%2bSmAU%3d
0,12,0,13,8,13,Medicine Men,13,8,Sockeye,0,/teams/events/match_report/?EventGameId=Rbz68aX00AdVrM6vPPl%2fPprTLQe97LI%2fMgEkYTeM5aA%3d
1,8,0,6,13,8,Sockeye,8,13,Medicine Men,0,/teams/events/match_report/?EventGameId=Rbz68aX00AdVrM6vPPl%2fPprTLQe97LI%2fMgEkYTeM5aA%3d
0,6,0,6,13,1,Doublewide,6,11,Patrol,0,/teams/events/match_report/?EventGameId=0YI51NSEUEPc%2fsZC0dfva%2bFNPBLN5oSUKwiQEMCxIpM%3d
1,5,0,6,6,11,Patrol,13,1,Doublewide,0,/teams/events/match_report/?EventGameId=0YI51NSEUEPc%2fsZC0dfva%2bFNPBLN5oSUKwiQEMCxIpM%3d
0,2,0,1,11,16,Pittsburgh Temper,10,3,DiG,0,/teams/events/match_report/?EventGameId=VhhjyDTtLSgOxG3WRDsbnrJ64krVjg6LMTuPdQdPicY%3d
1,11,0,11,10,3,DiG,11,16,Pittsburgh Temper,0,/teams/events/match_report/?EventGameId=VhhjyDTtLSgOxG3WRDsbnrJ64krVjg6LMTuPdQdPicY%3d
0,4,0,2,8,10,SoCal Condors,13,3,DiG,0,/teams/events/match_report/?EventGameId=KqPZwytehYeZxhJ2QetPCPvpcPiJadEQ7MnNt1OKd8k%3d
1,8,0,8,13,3,DiG,8,10,SoCal Condors,0,/teams/events/match_report/?EventGameId=KqPZwytehYeZxhJ2QetPCPvpcPiJadEQ7MnNt1OKd8k%3d
0,0,0,0,11,16,Pittsburgh Temper,9,4,PoNY,0,/teams/events/match_report/?EventGameId=0pHsxLVji3Hs5hQKDG8ErKD3T3rXb8zoU1DbNHSJHOM%3d
1,11,0,11,9,4,PoNY,11,16,Pittsburgh Temper,0,/teams/events/match_report/?EventGameId=0pHsxLVji3Hs5hQKDG8ErKD3T3rXb8zoU1DbNHSJHOM%3d
0,12,0,13,11,14,Guerrilla,13,11,Patrol,0,/teams/events/match_report/?EventGameId=si8t3p5udte1lHiH50dEGrWwfrGNF9QWam%2bbZ%2fXjOGg%3d
1,11,0,10,13,11,Patrol,11,14,Guerrilla,0,/teams/events/match_report/?EventGameId=si8t3p5udte1lHiH50dEGrWwfrGNF9QWam%2bbZ%2fXjOGg%3d
0,11,0,12,7,14,Guerrilla,13,7,Chicago Machine,0,/teams/events/match_report/?EventGameId=ipFiCFWM%2fmNyKIUedh5wAJEpVQOxVtvVcsD73uMvReM%3d
1,7,0,7,13,7,Chicago Machine,7,14,Guerrilla,0,/teams/events/match_report/?EventGameId=ipFiCFWM%2fmNyKIUedh5wAJEpVQOxVtvVcsD73uMvReM%3d
0,6,0,6,13,14,Guerrilla,8,5,Sub Zero,0,/teams/events/match_report/?EventGameId=UKCLr5C3ozh2jQ%2bzNG%2bt4l6I1FEWbuAbI5eGSZ9eSEM%3d
1,13,0,13,8,5,Sub Zero,13,14,Guerrilla,0,/teams/events/match_report/?EventGameId=UKCLr5C3ozh2jQ%2bzNG%2bt4l6I1FEWbuAbI5eGSZ9eSEM%3d
0,7,0,4,13,16,Pittsburgh Temper,7,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=mDej2wg3mJZogqE4Z72z%2fSceDfdAT9qT1rB5qklpemM%3d
1,13,0,13,7,9,HIGH FIVE,13,16,Pittsburgh Temper,0,/teams/events/match_report/?EventGameId=mDej2wg3mJZogqE4Z72z%2fSceDfdAT9qT1rB5qklpemM%3d
0,0,0,0,13,14,Guerrilla,10,2,Truck Stop,0,/teams/events/match_report/?EventGameId=%2bhch45GHsxijKK7rKn6pDYUN8VaXWLjGwtqHwu5qdto%3d
1,12,0,13,10,2,Truck Stop,13,14,Guerrilla,0,/teams/events/match_report/?EventGameId=%2bhch45GHsxijKK7rKn6pDYUN8VaXWLjGwtqHwu5qdto%3d
0,0,0,2,11,14,Guerrilla,12,3,DiG,0,/teams/events/match_report/?EventGameId=fsPUD5UugUr3V4ie7FBvfooZCj0NSGKAX28zrLAloVU%3d
1,9,0,9,12,3,DiG,11,14,Guerrilla,0,/teams/events/match_report/?EventGameId=fsPUD5UugUr3V4ie7FBvfooZCj0NSGKAX28zrLAloVU%3d
0,13,0,13,7,15,Rhino Slam,13,6,Johnny Bravo,0,/teams/events/match_report/?EventGameId=dIHCk%2b3wGqhlMaxHLNRIM%2beOrotKekY0fPrY7gXE4wA%3d
1,7,0,7,13,6,Johnny Bravo,7,15,Rhino Slam,0,/teams/events/match_report/?EventGameId=dIHCk%2b3wGqhlMaxHLNRIM%2beOrotKekY0fPrY7gXE4wA%3d
0,11,0,11,13,6,Johnny Bravo,11,16,Pittsburgh Temper,0,/teams/events/match_report/?EventGameId=zw5WirZiwm0R7fzGve4rBCmG%2foUPwrgq14TY6dGw5gQ%3d
1,13,0,13,11,16,Pittsburgh Temper,13,6,Johnny Bravo,0,/teams/events/match_report/?EventGameId=zw5WirZiwm0R7fzGve4rBCmG%2foUPwrgq14TY6dGw5gQ%3d
0,10,0,11,12,9,HIGH FIVE,11,12,Madison Club,0,/teams/events/match_report/?EventGameId=zioxwfhslzCkMblxSTtSz7dpVY8VDvH8IYKxTTDHdaE%3d
1,8,0,7,11,12,Madison Club,12,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=zioxwfhslzCkMblxSTtSz7dpVY8VDvH8IYKxTTDHdaE%3d
0,12,0,10,12,7,Chicago Machine,14,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=IeLHWRkyHn9wLeiYppulbHUGdO9UE88534Tf6WNU840%3d
1,9,0,11,14,9,HIGH FIVE,12,7,Chicago Machine,0,/teams/events/match_report/?EventGameId=IeLHWRkyHn9wLeiYppulbHUGdO9UE88534Tf6WNU840%3d
0,7,0,4,12,7,Chicago Machine,9,1,Doublewide,0,/teams/events/match_report/?EventGameId=Zjl0bQ36YLBgPphelIKusaT%2bzaSgJrsbayUiw2sFa2s%3d
1,12,0,12,9,1,Doublewide,12,7,Chicago Machine,0,/teams/events/match_report/?EventGameId=Zjl0bQ36YLBgPphelIKusaT%2bzaSgJrsbayUiw2sFa2s%3d
0,0,0,2,11,7,Chicago Machine,6,3,DiG,0,/teams/events/match_report/?EventGameId=Iw%2fO65Xt77QQPbcQsHly1AklpJy0e4Sr7BlXE%2bODPLg%3d
1,10,0,11,6,3,DiG,11,7,Chicago Machine,0,/teams/events/match_report/?EventGameId=Iw%2fO65Xt77QQPbcQsHly1AklpJy0e4Sr7BlXE%2bODPLg%3d
0,0,0,0,13,8,Sockeye,11,1,Doublewide,0,/teams/events/match_report/?EventGameId=bCD4rE5QSpBPyoUZP0hABv372W9G1Nh8cRuEyw9UG0s%3d
1,0,0,0,11,1,Doublewide,13,8,Sockeye,0,/teams/events/match_report/?EventGameId=bCD4rE5QSpBPyoUZP0hABv372W9G1Nh8cRuEyw9UG0s%3d
0,5,0,4,10,6,Johnny Bravo,13,3,DiG,0,/teams/events/match_report/?EventGameId=OUbf%2fSeXGJ13X0u6mhFM6%2b0IwqvwObwhKQiqw%2bNxe5o%3d
1,10,0,10,13,3,DiG,10,6,Johnny Bravo,0,/teams/events/match_report/?EventGameId=OUbf%2fSeXGJ13X0u6mhFM6%2b0IwqvwObwhKQiqw%2bNxe5o%3d
0,0,0,0,7,11,Patrol,13,7,Chicago Machine,0,/teams/events/match_report/?EventGameId=EMqYPrumKDS%2bjt4A9GjXeeLIaBf75UiO6d%2fA0AvvtKk%3d
1,0,0,0,13,7,Chicago Machine,7,11,Patrol,0,/teams/events/match_report/?EventGameId=EMqYPrumKDS%2bjt4A9GjXeeLIaBf75UiO6d%2fA0AvvtKk%3d
0,2,0,9,13,5,Sub Zero,11,2,Truck Stop,0,/teams/events/match_report/?EventGameId=NUjwiv5J4hHN3xPfXiY0Win%2bMkv7PaTGShCHDUjwpW8%3d
1,11,0,9,11,2,Truck Stop,13,5,Sub Zero,0,/teams/events/match_report/?EventGameId=NUjwiv5J4hHN3xPfXiY0Win%2bMkv7PaTGShCHDUjwpW8%3d
0,5,0,3,10,15,Rhino Slam,13,11,Patrol,0,/teams/events/match_report/?EventGameId=zAOoEqgyyNYioVy6j5WiCnsixIiQfSAsgxe4ZGZHIdk%3d
1,5,0,4,13,11,Patrol,10,15,Rhino Slam,0,/teams/events/match_report/?EventGameId=zAOoEqgyyNYioVy6j5WiCnsixIiQfSAsgxe4ZGZHIdk%3d
0,12,0,13,8,9,HIGH FIVE,13,8,Sockeye,0,/teams/events/match_report/?EventGameId=%2fTa22fux6vgEbhGHDii7MiIaGEuhP9Abcnhz1MT1VMM%3d
1,3,0,6,13,8,Sockeye,8,9,HIGH FIVE,0,/teams/events/match_report/?EventGameId=%2fTa22fux6vgEbhGHDii7MiIaGEuhP9Abcnhz1MT1VMM%3d
